Class,area,b1,b1_1,b1_2,b2,b2_2,b2_3,b2_diss,b2_savg,b3,b3_2,b3_3,b3_corr,b3_diss,b3_savg,perimeter
0,3,12900,1769,13287,11500,1753,11929,685,23522,11200,1793,11560,-10,689,22947,5400
0,2,17000,870,15928,15900,832,14767,1316,32362,15100,949,13850,22,1379,30895,3900
0,6,16900,793,16512,15300,798,15018,741,30450,14600,818,14309,17,741,29050,7500
0,3,15000,400,15178,13400,409,13718,460,27281,12700,403,12934,7,422,25747,5500
0,9,16100,1048,15192,15100,1097,14445,839,28985,13500,1072,12764,-18,847,25864,11600
0,1,13200,835,13438,12200,774,12600,1237,24587,10500,749,10838,16,1233,20975,2400
0,7,15300,1108,14826,13900,1101,13733,231,27735,13200,1052,12852,-39,275,26300,13600
0,4,12300,1004,12063,11400,903,11445,1927,25539,10900,978,10607,11,1950,24395,7300
0,6,11800,591,10873,10500,617,9517,675,20787,9800,587,8946,13,641,19595,9900
0,5,17000,845,17196,15600,808,15944,516,31883,14800,901,15131,8,524,30283,6500
0,4,17600,873,17350,16500,855,16163,433,32708,15700,864,15344,-6,400,31079,8000
0,5,18600,1064,16555,17600,1040,15595,2535,32767,17200,1019,15152,30,2543,32767,9100
0,7,15900,568,15649,14800,575,14317,827,28693,13800,556,13622,6,835,26772,10800
0,4,15800,1916,14081,14200,1890,12598,877,28227,13300,1821,11852,3,879,26570,8600
0,3,15200,528,15740,14100,497,14446,887,29445,13000,527,13543,19,895,27166,6200
0,5,17100,698,17246,16000,704,16164,206,31881,15200,726,15359,20,206,30281,7900
0,7,15400,1180,14984,15200,1190,14240,1104,29541,13200,1171,12601,-9,1043,25552,10400
0,1,17200,568,17555,16100,613,16569,766,32025,15300,612,15932,30,793,30439,4000
0,5,17200,845,17196,15900,808,15944,279,31637,14800,901,15131,13,293,29422,6500
0,5,12500,858,12182,12800,772,12586,666,25320,10500,790,10211,22,768,20681,6800
0,4,14800,861,14627,14200,835,13990,864,28443,11900,801,11728,-26,812,23825,6900
0,2,17400,495,16384,16000,458,14993,733,30908,15200,475,14207,-5,727,29402,5500
0,5,10500,3291,13940,9500,3525,12811,2622,23035,9000,3579,12378,14,2616,22049,9300
0,5,17000,731,16815,15700,719,15493,141,31158,14800,749,14607,0,145,29333,6600
0,1,21500,1651,19013,20600,1637,18072,1608,32767,20300,1645,17777,-16,1643,32767,3000
0,4,8700,1659,7181,10700,1579,10662,1300,22250,7800,1627,7589,15,1454,16366,6100
0,3,15900,528,15740,14400,497,14446,368,28947,13500,527,13543,13,364,27360,6200
0,4,11500,462,11270,10200,494,10085,397,20485,9800,536,9747,-2,385,19764,7800
0,2,17300,2178,18156,16200,2267,17210,1227,32767,15800,2282,16715,25,1154,32420,5100
0,4,11000,919,12824,10000,1118,12721,1602,21802,8800,921,10897,10,1654,19441,5000
0,3,14000,1157,13585,13000,1105,12735,962,25916,10900,1093,10714,-11,979,21900,5200
0,5,7700,815,10557,9200,779,11649,1229,20766,6900,637,9296,-19,1208,16141,9200
0,6,11800,953,11232,10700,954,10021,912,21025,9700,939,9048,-6,964,18877,8500
0,4,5100,1014,5859,8500,1137,9593,1131,17727,5200,1069,6075,15,985,10918,7300
0,9,12800,1100,13359,11800,1096,12165,639,24214,10600,1112,11091,-1,658,21695,15500
0,4,16100,383,15292,14800,372,13912,604,28666,13900,395,13030,-1,654,26737,5900
0,6,16400,715,16487,14900,778,15073,297,29906,14000,784,14256,2,293,28185,10400
0,0,18100,467,18705,16600,498,17200,662,32767,15800,497,16394,-5,712,31737,1600
0,10,13900,922,13771,12700,1094,12844,208,25208,11800,979,11739,-15,212,23433,14800
0,5,15300,1819,16785,14100,1865,15616,952,30289,13600,1936,15326,-7,966,29383,6300
0,2,16700,2600,13035,15500,2573,11711,2150,30150,15400,2576,11505,23,2135,29935,4200
0,4,14500,931,13484,14100,916,13193,635,27585,12800,892,11845,-4,660,24931,6700
0,8,18400,910,18771,17400,903,17775,608,32767,16800,887,17221,19,535,32767,11500
0,4,15000,1182,15580,14700,1225,15090,1770,31675,11600,1077,12271,12,1770,25475,6600
0,6,25500,2691,16683,25500,2992,15291,1054,32767,25500,3148,14760,19,1072,32767,7900
0,4,9100,871,9292,9400,1144,8439,1372,20893,6900,930,6590,-5,1422,15977,7800
0,3,10000,1082,10537,8900,1069,9488,312,18487,7700,1091,8358,6,302,16047,5700
0,2,13900,2600,13035,12300,2573,11711,2039,25218,12200,2576,11505,21,2050,25000,4200
0,3,11000,811,11882,9500,810,10406,1975,21745,9000,831,9844,-10,2012,20612,5600
0,6,11500,591,10873,10200,617,9517,702,20943,9500,587,8946,14,664,19677,9900
0,7,4900,1121,6895,8300,1264,9798,1256,18856,6000,1147,7494,7,1406,14206,9700
0,3,15200,741,16725,14000,740,15545,1231,29793,13300,763,14846,11,1243,28493,4800
0,9,16200,884,14784,14900,882,13607,887,28408,13500,868,12204,0,939,25460,11200
0,7,13900,775,13429,13200,803,12525,827,25431,11900,780,11515,22,789,22835,9200
0,5,12300,947,13784,10600,910,12029,681,22514,9900,924,11315,-24,695,21179,6300
0,0,20500,1128,21691,19600,1078,20708,1647,32767,19700,1104,20641,16,1712,32767,1200
0,4,15500,1182,15580,15000,1225,15090,1120,29191,12600,1077,12271,17,904,24658,6600
0,2,13000,2136,14310,11600,2190,13068,239,23472,11300,2230,12800,0,225,22808,3700
0,3,12400,677,13771,12500,677,13592,1137,26700,10200,665,11496,5,1200,22050,4700
0,5,12400,858,12182,12500,772,12586,572,25243,10300,790,10211,10,662,20779,6800
0,5,16500,731,16815,15300,719,15493,333,30658,14400,749,14607,31,320,28933,6600
0,2,11700,560,11878,10300,514,10638,375,20683,9700,556,9756,7,341,19295,4100
0,2,14400,2600,13035,12900,2573,11711,3029,27200,12800,2576,11505,14,3050,26812,4200
0,3,17900,1334,18500,16800,1373,17542,1235,32767,16400,1432,17068,-5,1247,32035,7900
0,3,11400,577,11342,10600,711,10600,395,21654,9700,627,9868,-4,393,19947,5500
0,6,15700,1352,15252,14000,1277,13837,412,28008,13100,1142,12846,-11,397,26193,10500
0,3,17600,564,16962,16200,552,15550,272,32285,15500,580,14795,11,270,30975,4700
0,2,13700,660,13591,12700,695,12643,402,25289,11600,758,11488,13,420,22891,4300
0,0,10600,511,10318,9900,306,9981,497,20502,9100,379,9054,16,541,18891,1100
0,4,18600,699,17271,17300,757,16015,558,32767,16800,830,15405,3,595,32767,6300
0,4,12200,549,12673,10800,563,11331,306,21731,9900,528,10325,-8,331,19906,5300
0,5,12700,1161,12944,11900,1059,12522,1443,24806,10400,1124,10701,3,1497,21806,7600
0,5,14100,534,14165,12700,522,12870,431,25727,12300,506,12308,-1,420,24837,8100
0,5,18400,932,17416,17100,921,16070,870,32767,16300,902,15288,4,881,32110,5900
0,7,17100,1135,18019,16200,1152,17028,1679,32129,15800,1257,16588,24,1743,31368,8900
0,3,5400,1283,6827,9200,1232,9962,635,19256,5300,1160,6396,-20,589,11293,6500
0,11,12400,911,12529,11300,866,11637,174,22762,10800,944,11042,17,189,21718,18000
0,7,11900,552,11286,10800,546,10207,654,22370,9400,516,8763,18,620,19462,13000
0,2,12100,1958,14922,10600,1964,13432,2012,23529,9900,1977,12814,20,2004,22075,4700
0,2,10000,1457,11825,8500,1539,10540,1099,17370,7700,1631,10006,11,1095,15875,5000
0,10,10700,1141,10965,9600,1145,9863,375,19058,8700,1138,8956,13,400,17312,16500
0,0,19700,712,19555,18500,653,18455,883,32767,17600,685,17505,15,883,32767,1600
0,4,23200,2039,21024,22500,2043,20311,781,32767,22400,2102,20243,-3,825,32767,6600
0,7,18000,1265,17788,17000,1266,16634,683,32767,16300,1243,16065,25,679,32767,9100
0,8,15900,680,16214,14900,649,14961,202,30035,14100,673,14268,-11,283,28533,14600
0,9,11400,735,11487,10200,751,10167,722,20106,9800,745,9805,20,727,19410,12500
0,5,14600,1839,15095,13700,1970,13936,527,27285,13200,2053,12720,-7,529,26033,9300
0,6,10700,591,10873,9300,617,9517,1254,18295,8800,587,8946,27,1289,17360,9900
0,1,13700,962,15383,13300,920,14945,1545,29766,10300,1073,12166,-13,1645,23875,3500
0,8,17600,910,18771,16600,903,17775,645,32767,16100,887,17221,18,656,32767,11500
0,7,12300,552,11286,11000,546,10207,433,21725,9500,516,8763,22,379,18725,13000
0,4,14600,1052,14861,13700,1098,13778,662,27929,11900,1057,12306,18,660,24372,6500
0,5,14500,4152,13807,12900,4552,12352,693,24447,12000,4786,11556,-35,754,22395,6000
0,14,13700,989,13762,12100,983,12134,402,24372,11400,1005,11464,16,412,22854,16300
0,8,17400,680,16214,16100,649,14961,1129,30920,15500,673,14268,3,1118,29760,14600
0,4,11300,1557,12041,9800,1514,10696,522,19868,9500,1461,10349,14,537,19254,6300
0,4,18300,862,18075,16900,871,16720,1114,32767,16100,857,15953,20,1160,32418,5200
0,5,16400,1330,16454,15500,1295,15290,1641,29941,15000,1301,14907,15,1693,28952,12300
0,7,5500,1121,6895,7400,1264,9798,1050,15733,5400,1147,7494,21,1016,11833,9700
0,4,15200,964,14089,13800,928,13294,1725,29395,13000,964,11932,14,1764,27543,6100
0,3,15400,481,15457,14000,468,14027,435,27589,13000,481,13173,29,472,25643,5300
0,2,14000,749,14689,13600,895,13832,1329,26908,11600,800,12236,8,1325,22774,5000
0,4,17100,957,16533,16200,992,15441,443,32014,15600,983,14955,15,441,30908,8200
0,6,16200,715,16487,14700,778,15073,439,29360,13800,784,14256,10,433,27604,10400
0,4,14300,919,12824,14600,1118,12721,637,28387,12500,921,10897,4,706,24281,5000
0,6,15400,1698,15120,13900,1770,13856,1049,29450,13200,1809,13311,-8,1087,28104,10100
0,7,7900,898,8599,10300,652,10164,306,20743,8200,622,8468,15,427,16731,11000
0,2,15400,882,16051,14000,858,14712,435,28064,13400,847,14140,37,397,26860,4100
0,2,15000,1512,15044,13500,1505,13651,1416,26208,13000,1472,13214,16,1420,25233,3800
0,7,11000,905,12930,9900,902,11917,1335,22064,8300,886,10187,-12,1297,18760,9400
0,3,19700,805,19596,18800,810,18589,570,32767,18200,808,18072,27,570,32767,6500
0,7,17900,1090,18156,17100,1077,17095,210,32767,16500,1114,16441,-6,222,32767,8600
0,9,14600,1048,15192,13900,1097,14445,354,27562,12000,1072,12764,8,306,23777,11600
0,0,15000,712,15716,14000,754,14766,1152,30035,13700,726,14383,-17,1118,29302,600
0,9,11600,1100,13359,10500,1096,12165,947,23231,9400,1112,11091,-22,958,20991,15500
0,1,13500,954,11478,12400,948,10412,570,24649,10800,931,8787,7,595,21395,3100
0,13,13900,1162,12636,12700,1085,11701,1381,26302,12300,1176,11026,23,1366,25516,19600
0,14,16100,1502,12901,14600,1493,11278,2264,27777,13800,1585,10538,22,2308,26137,20400
0,5,10200,766,10379,9100,739,9361,400,18875,7600,735,7967,-15,412,15979,7600
0,4,15200,1188,14788,14700,1199,13876,772,28706,12700,1193,12260,-20,754,24720,7200
0,6,14800,766,15086,13500,755,13760,481,27127,12600,835,12907,14,522,25435,12400
0,4,13700,751,14201,12200,771,12672,314,24581,11700,769,12094,-25,333,23591,6500
0,2,12800,781,14319,12200,812,13537,1070,26008,10300,777,11887,10,1145,22366,3800
0,9,14500,884,14784,13300,882,13607,291,26541,11900,868,12204,5,308,23766,11200
0,2,6100,1483,5705,8500,1728,8688,729,16379,6200,1614,6218,-4,818,11602,3500
0,0,10700,394,10636,9600,358,9440,508,19195,8400,349,8240,6,477,16706,2000
0,7,12800,1375,12528,11500,1396,11107,1785,24768,10800,1416,10479,10,1806,23502,9900
0,0,12900,311,12825,11300,287,11250,1054,24170,10700,311,10625,7,1047,22906,400
0,2,11800,388,11907,10700,378,10825,1229,22712,9200,391,9305,4,1250,19766,4400
0,7,13500,775,13429,12700,803,12525,420,25216,11600,780,11515,6,443,22952,9200
0,10,10800,1141,10965,9800,1145,9863,408,19387,9000,1138,8956,25,437,17758,16500
0,10,13300,786,12556,12100,779,11409,1397,26156,10600,779,9955,-6,1506,23314,18100
0,5,12300,742,13257,10900,738,11725,483,21995,10200,749,11075,2,508,20729,7500
0,2,17500,1975,18927,16900,1916,18092,2585,32767,16900,1804,17870,24,2447,32767,5000
0,3,13400,1224,14929,13500,1034,14196,810,26206,11500,1151,12601,12,697,22368,6000
0,7,17500,1265,17788,16300,1266,16634,970,32487,15900,1243,16065,10,925,31554,9100
0,2,15700,618,15619,14100,596,14039,247,27893,13400,619,13280,5,210,26547,4100
0,7,16100,690,14634,15000,759,13180,1354,30479,14400,805,12424,15,1339,29214,11600
0,1,9100,669,9588,8200,701,8580,660,16243,6700,646,7085,30,575,13258,3200
0,6,14400,1698,15120,13100,1770,13856,1141,27275,12500,1809,13311,13,1127,26139,10100
0,3,15200,400,15178,13700,409,13718,1116,28470,12900,403,12934,17,1160,26885,5500
0,7,12100,1500,13520,11100,1478,12374,606,23560,10400,1536,11937,-10,587,22120,11000
0,2,13800,1321,15110,12500,1335,13913,881,25189,11600,1455,13007,-29,887,23270,5100
0,2,14600,420,13369,14500,433,13074,854,28316,12300,421,11067,24,845,23837,3800
0,4,12500,1557,12041,11300,1514,10696,427,22306,10900,1461,10349,-3,379,21524,6300
0,11,11900,1139,11826,10500,1181,10546,481,20689,10200,1198,10230,10,495,20075,14000
0,4,14400,1182,15580,14000,1225,15090,800,29250,11000,1077,12271,-4,806,23264,6600
0,5,16000,1330,16454,14800,1295,15290,2654,29758,14300,1301,14907,35,2725,28729,12300
0,9,12600,1247,12743,11300,1287,11544,879,22075,10900,1210,10974,30,827,21235,10600
0,6,16500,1698,15120,14900,1770,13856,1070,28445,14300,1809,13311,-12,1089,27206,10100
0,4,14700,1916,14081,13300,1890,12598,1433,24308,12500,1821,11852,-10,1443,22797,8600
0,7,11300,552,11286,10100,546,10207,395,20783,8700,516,8763,7,345,17904,13000
0,3,14700,528,15740,13600,497,14446,631,27739,12600,527,13543,0,612,25750,6200
0,6,9400,689,9462,8200,675,8310,820,17520,6700,659,6646,12,856,14535,9500
0,7,18700,1135,18019,17800,1152,17028,587,32767,17300,1257,16588,13,602,32767,8900
0,11,14300,1139,11826,13000,1181,10546,893,26360,12700,1198,10230,14,883,25641,14000
0,8,16800,1218,14796,16000,1206,13412,4772,32767,15800,1319,12686,19,4897,32767,9100
0,9,13300,1770,12992,12800,1815,12576,1533,25345,10300,1823,10280,7,1593,20435,12200
0,4,17100,459,16959,15500,466,15424,325,30783,14800,475,14687,-1,335,29422,6800
0,5,12400,4152,13807,10600,4552,12352,820,21966,9600,4786,11556,-24,835,19981,6000
0,2,12600,420,13369,12500,433,13074,627,26277,10300,421,11067,-21,652,22035,3800
0,4,15100,383,15292,13900,372,13912,237,27850,12700,395,13030,3,247,25727,5900
0,3,13500,679,14687,12200,663,13519,760,25635,11400,726,12700,9,743,23981,5300
0,1,9800,965,10848,11500,724,12816,2039,22518,8700,790,9977,8,2156,16839,3100
0,4,11600,688,11647,10700,645,10929,770,21850,10100,627,10237,33,745,20595,6900
0,2,6300,1231,5575,8300,1021,8165,777,17310,6400,1120,5842,25,881,13514,4200
0,3,13000,1650,13973,11800,1682,12739,1385,25602,11500,1732,12266,-1,1362,24962,6600
0,9,10800,892,11843,10000,897,11006,925,20920,8700,926,9722,24,827,18306,15300
0,4,13500,931,13484,13300,916,13193,354,26300,11800,892,11845,-6,350,23274,6700
0,3,6900,644,8156,6000,689,6969,1258,14004,4900,699,6189,15,1241,11750,5700
0,6,3200,1161,5356,6900,1154,9150,1581,16727,4000,1147,6269,-14,1541,10970,7800
0,7,7500,898,8599,9900,652,10164,1002,19289,7900,622,8468,24,1122,15447,11000
0,6,10500,591,10873,9100,617,9517,304,18300,8700,587,8946,-12,304,17500,9900
0,4,17500,862,18075,16100,871,16720,487,32358,15400,857,15953,3,502,30972,5200
0,3,13300,1691,13284,13300,1799,12646,4175,28720,13000,1823,11893,32,4227,27927,4700
0,8,16700,680,16214,15200,649,14961,643,30239,14700,673,14268,-8,639,29106,14600
0,1,13800,798,14869,13600,688,14491,943,28618,10200,915,11433,1,991,21912,3200
0,5,12800,4152,13807,11200,4552,12352,1047,23006,10100,4786,11556,6,987,21008,6000
0,4,9000,625,9631,7500,644,8222,422,15418,7100,597,7756,10,422,14618,7200
0,2,11900,1041,13141,11000,1037,12210,1075,20941,9400,1051,10805,-45,1039,17860,4600
0,0,11300,907,12000,10000,903,10719,172,20202,9700,905,10347,12,164,19468,2100
0,1,11500,592,11868,11300,688,11415,756,23589,9400,590,9853,-16,691,19912,2600
0,4,9300,625,9631,7900,644,8222,314,15893,7500,597,7756,10,318,15172,7200
0,1,22500,1188,22493,21500,1261,21613,2314,32767,21400,1325,21689,10,2481,32767,2200
0,7,11200,1183,11106,11000,1177,10900,279,22500,8600,1123,8620,-8,310,17739,11700
0,2,12700,592,12873,11500,591,11766,279,22937,10800,588,10967,-4,256,21393,5800
0,5,15500,563,15478,14500,540,14246,366,28920,13400,540,13316,-35,345,26800,6000
0,4,22100,2039,21024,21500,2043,20311,1064,32767,21200,2102,20243,38,1097,32767,6600
0,2,16000,749,14689,15700,895,13832,993,30381,13700,800,12236,10,1070,26391,5000
0,4,11800,731,12082,10400,731,10679,522,21285,10100,734,10347,15,522,20685,6200
0,3,15400,3296,17559,13900,3658,16470,1775,27025,13600,3758,16231,33,1775,26425,7400
0,4,16700,867,17825,16500,904,17401,862,32767,13300,836,14441,21,837,26816,6800
0,8,7100,1204,6388,10800,1209,10101,1402,19577,8000,1183,7338,29,1385,13872,10400
0,4,19600,862,18075,18200,871,16720,885,32767,17500,857,15953,21,872,32767,5200
0,4,11300,688,11647,10600,645,10929,916,20683,9900,627,10237,11,885,19322,6900
0,5,18200,502,16978,16900,444,15824,1027,32767,16000,487,14952,12,1052,31935,9800
0,4,19900,1916,14081,18600,1890,12598,2329,32767,17800,1821,11852,-28,2366,31633,8600
0,1,9000,669,9588,7700,701,8580,629,15554,6100,646,7085,5,647,12264,3200
0,5,14900,534,14165,13600,522,12870,489,26410,13100,506,12308,-8,500,25400,8100
0,5,18500,932,17416,17100,921,16070,660,32767,16300,902,15288,24,658,32308,5900
0,5,13800,1025,14109,12600,951,13141,866,25025,11300,988,11578,8,810,22464,7400
0,3,11700,811,11882,10300,810,10406,795,21570,9800,831,9844,-3,814,20481,5600
0,1,12500,778,12096,11200,831,10736,1306,22068,10600,756,10223,15,1208,20962,2900
0,8,18300,910,18771,17300,903,17775,814,32767,17000,887,17221,20,816,32767,11500
0,11,20200,1286,20525,19300,1269,19824,1679,32767,19300,1337,19550,19,1729,32767,17200
0,4,8400,1659,7181,12200,1579,10662,1272,23027,8900,1627,7589,-3,1283,16387,6100
0,10,11200,1141,10965,10400,1145,9863,1472,22318,9100,1138,8956,24,1389,19797,16500
0,2,13600,542,13538,12300,533,12201,252,24577,11300,534,11242,-20,266,22591,4500
0,3,15200,528,15740,14300,497,14446,370,28570,13000,527,13543,-27,370,26129,6200
0,1,17900,1094,16871,17200,1092,16028,1095,32762,15600,1121,14733,-19,1062,29695,3700
0,2,11800,554,11381,11000,469,10867,460,22306,10300,420,10039,3,468,20906,4200
0,14,13800,989,13762,12200,983,12134,700,24291,11400,1005,11464,30,666,22770,16300
0,4,16800,957,16533,15700,992,15441,1977,29610,15100,983,14955,26,2002,28414,8200
0,5,14900,947,13784,13400,910,12029,1506,25793,12800,924,11315,-7,1564,24618,6300
0,8,14800,1218,14796,13400,1206,13412,520,27020,12500,1319,12686,13,583,25275,9100
0,7,13900,775,13429,12800,803,12525,372,25585,11900,780,11515,7,343,23706,9200
0,7,14000,1180,14984,12700,1190,14240,666,25445,11600,1171,12601,16,583,23295,10400
0,6,15900,1352,15252,14500,1277,13837,850,29008,13700,1142,12846,21,866,27437,10500
0,8,18500,910,18771,17600,903,17775,589,32767,16900,887,17221,16,608,32767,11500
0,10,12000,786,12556,10800,779,11409,1356,23218,8900,779,9955,-6,1354,19562,18100
0,2,11900,388,11907,11000,378,10825,687,20904,9300,391,9305,22,712,17479,4400
0,2,13300,448,13304,11900,416,12011,297,24072,11600,423,11638,14,287,23483,4100
0,6,15100,527,15354,13800,517,14178,287,27491,12800,495,13067,11,260,25427,8800
0,3,13100,630,12597,12100,620,11465,741,23062,10600,593,9933,-19,704,20116,7700
0,6,14800,527,15354,13500,517,14178,245,27241,12500,495,13067,7,231,25227,8800
0,5,14600,1025,14109,13400,951,13141,477,25989,12000,988,11578,-10,516,22991,7400
0,7,18000,1090,18156,16800,1077,17095,433,32767,16200,1114,16441,-20,410,32164,8600
0,5,13400,534,14165,12000,522,12870,489,24402,11500,506,12308,-8,422,23397,8100
0,6,17500,531,17236,16100,494,15784,577,31997,15200,540,14929,16,608,30158,8600
0,3,13700,811,11882,12200,810,10406,893,23556,11700,831,9844,6,906,22452,5600
0,5,16000,731,16815,14700,719,15493,443,29077,13800,749,14607,20,479,27262,6600
0,9,11700,1247,12743,10200,1287,11544,1856,20527,9900,1210,10974,30,1825,19887,10600
0,6,13100,967,14580,13100,824,13904,285,26672,11400,927,12717,-6,368,23460,9300
0,2,5100,1483,5705,7300,1728,8688,2289,17668,5300,1614,6218,18,2131,13352,3500
