"","Zone","Species","Abundance"
"192","Low","Cellana",6
"193","Low","Cellana",25
"194","Low","Cellana",31
"195","Low","Cellana",29
"196","Low","Cellana",17
"197","Low","Cellana",14
"198","Low","Cellana",2
"199","Low","Cellana",36
"200","Low","Cellana",35
"201","Low","Nerita",40
"202","Low","Nerita",30
"203","Low","Nerita",36
"204","Low","Nerita",17
"205","Low","Nerita",35
"206","Low","Nerita",31
"207","Low","Nerita",0
"208","Low","Nerita",30
"209","Low","Nerita",43
"210","Low","Nerita",23
"211","Low","Nerita",32
"212","Low","Nerita",8
"213","Low","Nerita",6
"214","Low","Nerita",30
"215","Low","Nerita",17
"216","Low","Nerita",0
"217","Low","Nerita",19
"218","Low","Nerita",1
"219","Low","Nerita",16
"220","Low","Nerita",5
"221","Low","Nerita",23
"222","Low","Nerita",0
"223","Low","Nerita",6
"224","Low","Nerita",0
"225","Low","Nerita",2
"226","Low","Nerita",15
"227","Low","Nerita",12
"228","Low","Nerita",29
"229","Low","Nerita",26
"230","Low","Nerita",2
"231","Low","Nerita",15
"232","Low","Nerita",17
"233","Low","Nerita",4
"234","Low","Nerita",5
"235","Low","Nerita",27
"236","Low","Nerita",37
"237","Low","Nerita",15
"238","Low","Nerita",30
"239","Low","Nerita",34
"240","Low","Nerita",17
"241","Mid","Austrocochlea",4
"242","Mid","Austrocochlea",20
"243","Mid","Austrocochlea",0
"244","Mid","Austrocochlea",3
"245","Mid","Austrocochlea",0
"246","Mid","Austrocochlea",0
"247","Mid","Austrocochlea",1
"248","Mid","Austrocochlea",0
"249","Mid","Austrocochlea",0
"250","Mid","Austrocochlea",0
"251","Mid","Austrocochlea",0
"252","Mid","Austrocochlea",0
"253","Mid","Austrocochlea",1
"254","Mid","Austrocochlea",13
"255","Mid","Austrocochlea",20
"256","Mid","Austrocochlea",4
"257","Mid","Austrocochlea",0
"258","Mid","Austrocochlea",6
"259","Mid","Austrocochlea",8
"260","Mid","Austrocochlea",17
"261","Mid","Austrocochlea",7
"262","Mid","Austrocochlea",0
"263","Mid","Austrocochlea",5
"264","Mid","Austrocochlea",6
"265","Mid","Austrocochlea",5
"266","Mid","Austrocochlea",8
"267","Mid","Austrocochlea",48
"268","Mid","Austrocochlea",3
"269","Mid","Austrocochlea",5
"270","Mid","Austrocochlea",2
"271","Mid","Austrocochlea",1
"272","Mid","Austrocochlea",10
"273","Mid","Austrocochlea",0
"274","Mid","Austrocochlea",6
"275","Mid","Austrocochlea",1
"276","Mid","Austrocochlea",0
"277","Mid","Austrocochlea",4
"278","Mid","Austrocochlea",16
"279","Mid","Austrocochlea",16
"280","Mid","Austrocochlea",13
"281","Mid","Cellana",1
"282","Mid","Cellana",41
"283","Mid","Cellana",16
"284","Mid","Cellana",0
"285","Mid","Cellana",27
"286","Mid","Cellana",0
"287","Mid","Cellana",23
"288","Mid","Cellana",34
"289","Mid","Cellana",0
"290","Mid","Cellana",0
"291","Mid","Cellana",1
"292","Mid","Cellana",5
"293","Mid","Cellana",2
"294","Mid","Cellana",7
"295","Mid","Cellana",0
"296","Mid","Cellana",0
"297","Mid","Cellana",8
"298","Mid","Cellana",0
"299","Mid","Cellana",1
"300","Mid","Cellana",30
"301","Mid","Cellana",8
"302","Mid","Cellana",7
"303","Mid","Cellana",23
"304","Mid","Cellana",0
"305","Mid","Cellana",21
"306","Mid","Cellana",8
"307","Mid","Cellana",28
"308","Mid","Cellana",13
"309","Mid","Cellana",0
"310","Mid","Cellana",5
"311","Mid","Cellana",0
"312","Mid","Cellana",7
"313","Mid","Cellana",12
"314","Mid","Cellana",9
"315","Mid","Cellana",8
"316","Mid","Cellana",31
"317","Mid","Cellana",9
"318","Mid","Cellana",5
"319","Mid","Cellana",0
"320","Mid","Cellana",26
"321","Mid","Nerita",19
"322","Mid","Nerita",20
"323","Mid","Nerita",8
"324","Mid","Nerita",0
"325","Mid","Nerita",11
"326","Mid","Nerita",1
"327","Mid","Nerita",20
"328","Mid","Nerita",8
"329","Mid","Nerita",6
"330","Mid","Nerita",27
"331","Mid","Nerita",13
"332","Mid","Nerita",2
"333","Mid","Nerita",42
"334","Mid","Nerita",5
"335","Mid","Nerita",35
"336","Mid","Nerita",11
"337","Mid","Nerita",15
"338","Mid","Nerita",0
"339","Mid","Nerita",33
"340","Mid","Nerita",14
"341","Mid","Nerita",0
"342","Mid","Nerita",30
"343","Mid","Nerita",18
"344","Mid","Nerita",4
"345","Mid","Nerita",17
"346","Mid","Nerita",3
"347","Mid","Nerita",7
"348","Mid","Nerita",0
"349","Mid","Nerita",15
"350","Mid","Nerita",39
"351","Mid","Nerita",5
"352","Mid","Nerita",23
"353","Mid","Nerita",1
"354","Mid","Nerita",41
"355","Mid","Nerita",0
"356","Mid","Nerita",1
"357","Mid","Nerita",29
"358","Mid","Nerita",29
"359","Mid","Nerita",31
"360","Mid","Nerita",37
