Day,Quadrat,Treatment,BareRock
75,7,high.urchin,2
75,10,high.urchin,74
75,15,high.urchin,38
75,17,high.urchin,68
75,20,high.urchin,62
75,24,high.urchin,80
75,33,high.urchin,42
75,40,high.urchin,32
92,7,high.urchin,16
92,10,high.urchin,49
92,15,high.urchin,2
92,17,high.urchin,0
92,20,high.urchin,0
92,24,high.urchin,0
92,33,high.urchin,59
92,40,high.urchin,36
130,7,high.urchin,56
130,10,high.urchin,25
130,15,high.urchin,17
130,17,high.urchin,102
130,20,high.urchin,97
130,24,high.urchin,100
130,33,high.urchin,0
130,40,high.urchin,25
159,7,high.urchin,83
159,10,high.urchin,56
159,15,high.urchin,80
159,17,high.urchin,43
159,20,high.urchin,96
159,24,high.urchin,98
159,33,high.urchin,103
159,40,high.urchin,80
210,7,high.urchin,10
210,10,high.urchin,78
210,15,high.urchin,80
210,17,high.urchin,108
210,20,high.urchin,94
210,24,high.urchin,104
210,33,high.urchin,100
210,40,high.urchin,82
14,7,high.urchin,5
14,10,high.urchin,6
14,15,high.urchin,27
14,17,high.urchin,24
14,20,high.urchin,28
14,24,high.urchin,5
14,33,high.urchin,18
14,40,high.urchin,53
0,1,low.urchin,0.83
0,2,low.urchin,7.5
0,4,low.urchin,0.83
0,19,low.urchin,6.67
0,21,low.urchin,2.5
0,22,low.urchin,0
0,23,low.urchin,3.33
0,37,low.urchin,1.67
33,1,low.urchin,12
33,2,low.urchin,9
33,4,low.urchin,9
33,19,low.urchin,19
33,21,low.urchin,13
33,22,low.urchin,27
33,23,low.urchin,14
33,37,low.urchin,12
49,1,low.urchin,0
49,2,low.urchin,0
49,4,low.urchin,0
49,19,low.urchin,4
49,21,low.urchin,13
49,22,low.urchin,20
49,23,low.urchin,20
49,37,low.urchin,21
75,1,low.urchin,5
75,2,low.urchin,8
75,4,low.urchin,1
75,19,low.urchin,12
75,21,low.urchin,47
75,22,low.urchin,25
75,23,low.urchin,33
75,37,low.urchin,15
92,1,low.urchin,5
92,2,low.urchin,8
92,4,low.urchin,0
92,19,low.urchin,0
92,21,low.urchin,0
92,22,low.urchin,0
92,23,low.urchin,0
92,37,low.urchin,29
130,1,low.urchin,11
130,2,low.urchin,16
130,4,low.urchin,16
130,19,low.urchin,27
130,21,low.urchin,80
130,22,low.urchin,29
130,23,low.urchin,55
130,37,low.urchin,18
159,1,low.urchin,5
159,2,low.urchin,6
159,4,low.urchin,0
159,19,low.urchin,32
159,21,low.urchin,79
159,22,low.urchin,53
159,23,low.urchin,79
159,37,low.urchin,59
210,1,low.urchin,8
210,2,low.urchin,10
210,4,low.urchin,6
210,19,low.urchin,37
210,21,low.urchin,72
210,22,low.urchin,40
210,23,low.urchin,45
210,37,low.urchin,62
14,1,low.urchin,3
14,2,low.urchin,16
14,4,low.urchin,0
14,19,low.urchin,11
14,21,low.urchin,8
14,22,low.urchin,5
14,23,low.urchin,3
14,37,low.urchin,9
0,3,open.cage,6.67
0,5,open.cage,5.83
0,12,open.cage,7.5
0,13,open.cage,10.83
0,14,open.cage,4.17
0,34,open.cage,7.5
0,35,open.cage,6.67
0,36,open.cage,1.67
33,3,open.cage,1
33,5,open.cage,1
33,12,open.cage,16
33,13,open.cage,7
33,14,open.cage,11
33,34,open.cage,17
33,35,open.cage,2
33,36,open.cage,3
49,3,open.cage,0
49,5,open.cage,0
49,12,open.cage,16
49,13,open.cage,16
49,14,open.cage,17
49,34,open.cage,0
49,35,open.cage,0
49,36,open.cage,4
75,3,open.cage,5
75,5,open.cage,9
75,12,open.cage,9
75,13,open.cage,0
75,14,open.cage,13
75,34,open.cage,8
75,35,open.cage,2
75,36,open.cage,6
92,3,open.cage,3
92,5,open.cage,15
92,12,open.cage,8
92,13,open.cage,28
92,14,open.cage,9
92,34,open.cage,11
92,35,open.cage,1
92,36,open.cage,13
130,3,open.cage,2
130,5,open.cage,7
130,12,open.cage,0
130,13,open.cage,4
130,14,open.cage,8
130,34,open.cage,0
130,35,open.cage,11
130,36,open.cage,7
159,3,open.cage,3
159,5,open.cage,12
159,12,open.cage,3
159,13,open.cage,3
159,14,open.cage,4
159,34,open.cage,7
159,35,open.cage,4
159,36,open.cage,6
210,3,open.cage,0
210,5,open.cage,0
210,12,open.cage,1
210,13,open.cage,3
210,14,open.cage,4
210,34,open.cage,33
210,35,open.cage,19
210,36,open.cage,19
14,3,open.cage,5
14,5,open.cage,0
14,12,open.cage,5
14,13,open.cage,18
14,14,open.cage,9
14,34,open.cage,14
14,35,open.cage,7
14,36,open.cage,3
